2e44a0 37d61f30 364010
1996d0 3525df30 1f6030
2c3690 31a2cf30 30d080
177c00 3a1fbf30 18e0c0
41fe80 3bed3f30 4480c4
345020 3b439f30 3bb000
37a350 35092f30 3da0a8
38efc0 3fb12f30 423000
217370 39aa5f30 2270a0
38e900 36ce2f30 3f0010
396e30 3d7f3f30 41e000
1763c0 3d854f30 1ee000
282210 3de70f30 299100
2cff40 3c9b4f30 3050a8
232ca0 3c330f30 2c2010
1f43b0 3fbfbf30 2040e0
24d3c0 374ddf30 294000
2f8110 3dd6df30 343084
291990 3026ff30 31b010
308b60 3ec7af30 337090
3f7fa0 35029f30 3fd0e8
1b6560 30fbbf30 1f0050
3751b0 38ee1f30 409088
23d710 3f817f30 24a0e0
193a90 3632df30 1d508c
1af940 3eea8f30 1e0060
421740 3f544f30 44c09c
41d700 3e5f2f30 4220ec
1ae990 30627f30 1c80e8
383db0 36a1ff30 412000
43bf60 3f773f30 4630d0
3e42c0 37e44f30 41c090
2bf000 3551ef30 318010
1cbbb0 31126f30 1e7088
190e00 30b02f30 213030
386af0 36fd6f30 414048
21f4b0 354eff30 2240e4
1c8520 3ed65f30 226010
17d840 3b10bf30 20d000
18e9a0 3f486f30 1f5050
21a250 350b7f30 250080
4108b0 39afef30 494000
1f5ed0 31afbf30 1fa0e0
459270 3a5a3f30 4bf070
3a8860 328f3f30 3de0a4
3da310 39db0f30 3df0f0
3bcb80 379ddf30 3d90e8
3a4dd0 377c9f30 3a90e8
2c6360 3acb3f30 2da0f0
2da3f0 3ca51f30 2f6100
432fd0 36ff5f30 479084
30fd30 31936f30 33d03c
228000 338c2f30 2a3000
3c0a40 34744f30 4250a0
274660 3b97ef30 2de000
2cd260 31ea8f30 2fd040
1e3310 308d0f30 21c0a0
292c00 39b73f30 297100
34bfa0 376b6f30 3ba090
1b7ab0 367abf30 1e40b0
1fbac0 38561f30 2000ec
3167a0 37af3f30 3370f0
346eb0 3b675f30 3a5040
1dd300 31a4ef30 215090
247910 396dbf30 2c1040
30b130 367acf30 369048
3413a0 3583df30 3650ec
28df40 37a79f30 2fc000
3a1d00 3150cf30 3ba0b0
21a3d0 3279af30 2a3000
35c7c0 35ff2f30 3ae060
339090 37d9bf30 35e070
34b7e0 3c77cf30 39c0a0
2e0330 38d72f30 364000
485f00 3610ff30 49a0e0
1b9880 39459f30 243000
1c4aa0 30176f30 224050
368390 35c2bf30 3d5010
115910 32723f30 19f000
2abfa0 33fd3f30 315010
2b1ca0 3ae28f30 2f9050
291fc0 3b0f4f30 2970e4
325ec0 37898f30 3680e4
410f20 36c68f30 489000
309730 3e438f30 398000
2b1700 3534ef30 31d010
39aa80 345d6f30 41e0a8
3f63b0 31e92f30 3ff0e0
37b7c0 38a29f30 3c903c
26e3e0 36568f30 29708c
34c580 36a53f30 37d0a8
1e9cd0 3cc24f30 2000e4
344990 3b12cf30 3b7000
2b7f20 32245f30 34d000
245f80 35e25f30 26d100
239390 35654f30 2a8000
1201d0 3e01df30 1bc000
1e04b0 3f746f30 222060
31f8d0 31c3ff30 39903c
2e6680 363a2f30 324060
3f3830 3c3f0f30 3f90fc
1c75a0 33927f30 1d30f0
426320 3ba5df30 43e0a0
34fe20 3e74cf30 3c6088
46ed50 3e14ef30 4860d0
204310 36e45f30 271068
3dcb20 3ae1ff30 407090
23ec80 3dd54f30 2430ec
3e02b0 3b077f30 3e60e0
19f450 3c1a1f30 1c7090
49c750 35c9ff30 4a5100
1caf90 327adf30 240000
2be760 38744f30 346010
3f05b0 3251df30 4000f0
26fd00 3ab7ef30 29b0e0
224840 398a1f30 25e0dc
338580 32f25f30 3940a8
3253c0 32f74f30 34a05c
364d40 3f5edf30 3c5010
38fd20 359dbf30 3a0100
289990 3d0c6f30 2c50b0
207a40 34fa9f30 28106c
4329e0 3e5e8f30 4430b0
409380 31d54f30 4180e8
39a2a0 33c36f30 437000
1b4f50 3294af30 204090
405eb0 30c61f30 4440ec
27bfc0 34192f30 2840d0
1c7d60 3f9adf30 1d80d0
13e040 390ecf30 1ca060
1ee5b0 33ad4f30 21909c
3178c0 39193f30 3370a4
3d7a70 39194f30 43b010
23d980 3e8def30 28d090
2a9400 3f968f30 2e90b0
37d310 3f336f30 413010
3ac9c0 365e7f30 3b10f0
413b90 32996f30 47e050
2d3560 34490f30 2ec0f0
353690 3bf7ef30 38d0b0
1913d0 34dfef30 1f8084
245030 3b099f30 2e703c
2054d0 34378f30 277000
3ccef0 366a4f30 3e70d0
2687b0 3903df30 2e6010
23fac0 3172cf30 277060
23f420 392bdf30 265084
250c20 35c50f30 2ae090
393d40 34f83f30 3980f0
29f130 37b47f30 2bc088
3c5ad0 3f574f30 3d30f0
293ac0 3a061f30 30c068
387910 30e8bf30 38c100
3a7360 3d6d6f30 40b010
3d2080 35a4af30 444060
1d0100 3c468f30 1fd0f0
271bf0 39899f30 2900f0
2a3c60 37a66f30 329000
2d0eb0 34584f30 2e40e8
343410 389bdf30 38a084
1fc540 3ffd6f30 2500ac
3bfbc0 39a02f30 3fb04c
3f63c0 3f00ff30 45c000
296420 3246bf30 2bb08c
25ad50 345f7f30 2bd06c
2fafa0 3c341f30 368010
200f00 3f4cff30 255090
1ce1f0 3723af30 1ff0d0
186270 3ba04f30 1ad0b0
309bd0 3d555f30 36a070
1d8410 3abb5f30 262000
